Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Brownsville,Texas,2301,US-Mexico Border,May-23,Pedestrians,219131,25.952,-97.401,POINT (-97.40067 25.95155)
Eastport,Idaho,3302,US-Canada Border,Apr-23,Rail Containers Loaded,10641,49.001,-116.181,POINT (-116.181027 49.000555)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Mar-21,Rail Containers Empty,1793,46.509,-84.361,POINT (-84.360833 46.508611)
Hannah,North Dakota,3408,US-Canada Border,Jul-23,Personal Vehicles,68,49,-98.694,POINT (-98.693777 49.000138)
Hidalgo,Texas,2305,US-Mexico Border,Apr-21,Buses,631,26.095,-98.271,POINT (-98.271092 26.095032)
Eastport,Idaho,3302,US-Canada Border,Jun-22,Rail Containers Empty,565,49.001,-116.181,POINT (-116.181027 49.000555)
Pembina,North Dakota,3401,US-Canada Border,Oct-20,Truck Containers Loaded,17050,49,-97.237,POINT (-97.237036 49.000453)
Portal,North Dakota,3403,US-Canada Border,Aug-21,Personal Vehicles,2317,48.999,-102.552,POINT (-102.551944 48.998944)
Fort Kent,Maine,110,US-Canada Border,May-22,Pedestrians,28,47.249,-68.604,POINT (-68.603918 47.249206)
Sherwood,North Dakota,3414,US-Canada Border,Nov-22,Pedestrians,2,48.999,-101.628,POINT (-101.627527 48.999305)
Rio Grande City,Texas,2307,US-Mexico Border,Mar-22,Pedestrians,5098,26.366,-98.803,POINT (-98.802513 26.365761)
Ogdensburg,New York,701,US-Canada Border,Oct-22,Bus Passengers,428,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Feb-22,Truck Containers Empty,523,46.509,-84.361,POINT (-84.360833 46.508611)
Dalton Cache,Alaska,3106,US-Canada Border,Jul-22,Bus Passengers,453,59.451,-136.362,POINT (-136.361944 59.450556)
Derby Line,Vermont,209,US-Canada Border,Nov-22,Bus Passengers,899,45.006,-72.099,POINT (-72.099279 45.005739)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Apr-22,Trains,30,46.509,-84.361,POINT (-84.360833 46.508611)
El Paso,Texas,2402,US-Mexico Border,Nov-22,Buses,980,31.764,-106.451,POINT (-106.451188 31.764363)
Pinecreek,Minnesota,3425,US-Canada Border,May-22,Truck Containers Loaded,8,49,-95.978,POINT (-95.977694 48.999916)
Pinecreek,Minnesota,3425,US-Canada Border,Sep-20,Truck Containers Loaded,6,49,-95.978,POINT (-95.977694 48.999916)
Grand Portage,Minnesota,3613,US-Canada Border,Oct-21,Personal Vehicles,1429,48.001,-89.585,POINT (-89.58515 48.001427)
Oroville,Washington,3019,US-Canada Border,Dec-23,Pedestrians,514,49,-119.462,POINT (-119.461833 49.000083)
Houlton,Maine,106,US-Canada Border,Feb-21,Personal Vehicle Passengers,884,46.135,-67.781,POINT (-67.781288 46.134879)
Sherwood,North Dakota,3414,US-Canada Border,Aug-22,Truck Containers Empty,214,48.999,-101.628,POINT (-101.627527 48.999305)
Naco,Arizona,2603,US-Mexico Border,Jan-22,Truck Containers Empty,167,31.334,-109.948,POINT (-109.948413 31.334084)
El Paso,Texas,2402,US-Mexico Border,Jul-22,Personal Vehicle Passengers,1259884,31.764,-106.451,POINT (-106.451188 31.764363)
Fort Fairfield,Maine,107,US-Canada Border,Jan-21,Trucks,367,46.765,-67.789,POINT (-67.789471 46.765323)
Port Angeles,Washington,3007,US-Canada Border,Nov-22,Truck Containers Loaded,18,48.122,-123.431,POINT (-123.430694 48.121858)
Turner,Montana,3306,US-Canada Border,Mar-22,Truck Containers Loaded,42,49,-108.388,POINT (-108.387916 48.999527)
El Paso,Texas,2402,US-Mexico Border,Aug-20,Pedestrians,170385,31.764,-106.451,POINT (-106.451188 31.764363)
El Paso,Texas,2402,US-Mexico Border,Jan-23,Trucks,3322,31.764,-106.451,POINT (-106.451188 31.764363)
Vanceboro,Maine,105,US-Canada Border,Nov-23,Truck Containers Empty,31,45.569,-67.429,POINT (-67.428541 45.568761)
Beecher Falls,Vermont,206,US-Canada Border,May-23,Personal Vehicles,4256,45.013,-71.505,POINT (-71.505309 45.013411)
Calexico East,California,2507,US-Mexico Border,Apr-22,Train Passengers,20,32.673,-115.388,POINT (-115.388018 32.673389)
Calais,Maine,115,US-Canada Border,Feb-23,Personal Vehicle Passengers,41687,45.189,-67.275,POINT (-67.275381 45.188548)
Metaline Falls,Washington,3025,US-Canada Border,Apr-21,Truck Containers Empty,417,49,-117.299,POINT (-117.299444 48.999972)
Grand Portage,Minnesota,3613,US-Canada Border,Sep-20,Personal Vehicles,438,48.001,-89.585,POINT (-89.58515 48.001427)
Douglas,Arizona,2601,US-Mexico Border,May-21,Pedestrians,51871,31.334,-109.56,POINT (-109.560344 31.334043)
International Falls,Minnesota,3604,US-Canada Border,Sep-23,Trucks,1290,48.608,-93.401,POINT (-93.401355 48.6078)
Detroit,Michigan,3801,US-Canada Border,Dec-20,Truck Containers Empty,25718,42.332,-83.048,POINT (-83.047924 42.331685)
Eagle Pass,Texas,2303,US-Mexico Border,Apr-23,Personal Vehicle Passengers,520797,28.705,-100.512,POINT (-100.511977 28.705483)
Alexandria Bay,New York,708,US-Canada Border,Oct-23,Truck Containers Empty,1834,44.347,-75.984,POINT (-75.983592 44.347229)
Calexico East,California,2507,US-Mexico Border,Mar-21,Rail Containers Loaded,48,32.673,-115.388,POINT (-115.388018 32.673389)
Van Buren,Maine,108,US-Canada Border,Sep-23,Train Passengers,107,47.16,-67.931,POINT (-67.930799 47.159645)
Hidalgo,Texas,2305,US-Mexico Border,Feb-22,Pedestrians,124062,26.095,-98.271,POINT (-98.271092 26.095032)
Douglas,Arizona,2601,US-Mexico Border,Feb-21,Buses,5,31.334,-109.56,POINT (-109.560344 31.334043)
Fort Fairfield,Maine,107,US-Canada Border,Nov-21,Personal Vehicles,1222,46.765,-67.789,POINT (-67.789471 46.765323)
Grand Portage,Minnesota,3613,US-Canada Border,Oct-23,Personal Vehicles,11286,48.001,-89.585,POINT (-89.58515 48.001427)
Presidio,Texas,2403,US-Mexico Border,Nov-22,Pedestrians,13552,29.562,-104.395,POINT (-104.394907 29.561827)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Jul-22,Trucks,2548,46.509,-84.361,POINT (-84.360833 46.508611)
Laredo,Texas,2304,US-Mexico Border,Feb-21,Personal Vehicles,205254,27.5,-99.507,POINT (-99.507412 27.499561)
Columbus,New Mexico,2406,US-Mexico Border,Jul-23,Personal Vehicles,35406,31.784,-107.628,POINT (-107.627948 31.783742)
Houlton,Maine,106,US-Canada Border,Nov-20,Truck Containers Empty,1330,46.135,-67.781,POINT (-67.781288 46.134879)
Van Buren,Maine,108,US-Canada Border,Dec-21,Trains,39,47.16,-67.931,POINT (-67.930799 47.159645)
Limestone,Maine,118,US-Canada Border,May-23,Pedestrians,1,46.925,-67.79,POINT (-67.789597 46.924555)
Eastport,Maine,103,US-Canada Border,Oct-20,Truck Containers Loaded,80,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Massena,New York,704,US-Canada Border,Oct-20,Trucks,2256,44.991,-74.74,POINT (-74.739722 44.990556)
Lukeville,Arizona,2602,US-Mexico Border,Dec-22,Bus Passengers,297,31.88,-112.817,POINT (-112.817077 31.880195)
Opheim,Montana,3317,US-Canada Border,May-21,Truck Containers Loaded,8,49,-106.378,POINT (-106.377583 48.999527)
Kenneth G Ward,Washington,3023,US-Canada Border,May-22,Truck Containers Loaded,525,49.002,-122.485,POINT (-122.485027 49.002277)
Nogales,Arizona,2604,US-Mexico Border,Sep-21,Personal Vehicle Passengers,404891,31.333,-110.943,POINT (-110.942516 31.332839)
Walhalla,North Dakota,3407,US-Canada Border,Jun-23,Personal Vehicle Passengers,3803,49,-97.908,POINT (-97.908416 49.000472)
Buffalo Niagara Falls,New York,901,US-Canada Border,Sep-20,Trucks,75607,43.095,-79.056,POINT (-79.055847 43.09549)
Baudette,Minnesota,3424,US-Canada Border,Aug-21,Truck Containers Loaded,1,48.719,-94.59,POINT (-94.590467 48.719109)
